Title,dutch_title,Job Zone,Description,dutch_description,Domain,dutch_domain,O*NET-SOC Code
Driver/Sales Workers,Bestuurder/verkoopmedewerkers,2,"Drive truck or other vehicle over established routes or within an established territory and sell or deliver goods, such as food products, including restaurant take-out items, or pick up or deliver items such as commercial laundry. May also take orders, collect payment, or stock merchandise at point of delivery.","Rijd truck of ander voertuig over gevestigde routes of binnen een gevestigd gebied en verkoop of leveren goederen, zoals voedselproducten, inclusief startartikelen van restaurants, of haal of levert artikelen op of levert commerciële wasserette. Kan ook bestellingen aannemen, betaling innen of aandelenmerchandise op het punt van levering.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-3031.00
Heavy and Tractor-Trailer Truck Drivers,Zware vrachtwagenchauffeurs voor tractor-oplegger,2,"Drive a tractor-trailer combination or a truck with a capacity of at least 26,001 pounds Gross Vehicle Weight (GVW). May be required to unload truck. Requires commercial drivers' license. Includes tow truck drivers.",Rijd een combinatie van een tractor-oplegger of een vrachtwagen met een capaciteit van ten minste 26.001 pond bruto voertuiggewicht (GVW). Kan nodig zijn om vrachtwagen te lossen. Vereist commerciële rijbewijs. Inclusief sleepwagenchauffeurs.,Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-3032.00
Light Truck Drivers,Lichte vrachtwagenchauffeurs,2,"Drive a light vehicle, such as a truck or van, with a capacity of less than 26,001 pounds Gross Vehicle Weight (GVW), primarily to pick up merchandise or packages from a distribution center and deliver. May load and unload vehicle.","Rijd een licht voertuig, zoals een vrachtwagen of busje, met een capaciteit van minder dan 26.001 pond bruto voertuiggewicht (GVW), voornamelijk om merchandise of pakketten uit een distributiecentrum op te halen en te leveren. Kan het voertuig laden en lossen.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-3033.00
"Bus Drivers, School","Buschauffeurs, school",2,Drive a school bus to transport students. Ensure adherence to safety rules. May assist students in boarding or exiting.,Rijd een schoolbus om studenten te vervoeren. Zorgen voor de naleving van veiligheidsregels. Kan studenten helpen bij het instappen of verlaten.,Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-3051.00
"Bus Drivers, Transit and Intercity","Buschauffeurs, doorvoer en intercity",2,"Drive bus or motor coach, including regular route operations, charters, and private carriage. May assist passengers with baggage. May collect fares or tickets.","Drive bus- of motorcoach, inclusief reguliere routeactiviteiten, charters en privé -vervoer. Kan passagiers helpen met bagage. Kan tarieven of tickets verzamelen.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-3052.00
Shuttle Drivers and Chauffeurs,Shuttle -stuurprogramma's en chauffeurs,2,Drive a motor vehicle to transport passengers on a planned or scheduled basis. May collect a fare. Includes nonemergency medical transporters and hearse drivers.,Rijd een motorvoertuig om passagiers op een geplande of geplande basis te vervoeren. Kan een tarief verzamelen. Bevat niet -noodgeval medische transporters en lijkwagenchauffeurs.,Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-3053.00
Taxi Drivers,Taxi bestuurders,2,"Drive a motor vehicle to transport passengers on an unplanned basis and charge a fare, usually based on a meter.","Rijd een motorvoertuig om passagiers op een ongeplande basis te vervoeren en een tarief op te laden, meestal op basis van een meter.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-3054.00
Locomotive Engineers,Locomotive Engineers,2,"Drive electric, diesel-electric, steam, or gas-turbine-electric locomotives to transport passengers or freight. Interpret train orders, electronic or manual signals, and railroad rules and regulations.","Drijf elektrische, diesel-elektrische, stoom- of gas-turbine-elektrische locomotieven aan om passagiers of vracht te transporteren. Interpreteer treinorders, elektronische of handmatige signalen en spoorwegregels en voorschriften.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-4011.00
"Rail Yard Engineers, Dinkey Operators, and Hostlers","Rail Yard Engineers, Dinkey Operators en Hostlers",2,"Drive switching or other locomotive or dinkey engines within railroad yard, industrial plant, quarry, construction project, or similar location.","Drive -omschakeling of andere locomotief- of dinney -motoren binnen spoorwegwerf, industriële fabriek, steengroeve, bouwproject of vergelijkbare locatie.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-4013.00
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers","Railroadrem-, signaal- en schakeloperators en locomotiefbrers",2,"Operate or monitor railroad track switches or locomotive instruments. May couple or uncouple rolling stock to make up or break up trains. Watch for and relay traffic signals. May inspect couplings, air hoses, journal boxes, and hand brakes. May watch for dragging equipment or obstacles on rights-of-way.","Werkschakelaars of locomotieve instrumenten bedienen of bewaken. Kan rollend materiële voorraad koppelen of ontkoppelen om treinen te compenseren of uit te breken. Let op en stuur verkeerssignalen door. Kan koppelingen, luchtslangen, journaalboxen en handremmen inspecteren. Kan uitkijken naar slepen van apparatuur of obstakels op doorgangsrechten.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-4022.00
Railroad Conductors and Yardmasters,Spoorweggeleiders en yardmasters,2,"Coordinate activities of switch-engine crew within railroad yard, industrial plant, or similar location. Conductors coordinate activities of train crew on passenger or freight trains. Yardmasters review train schedules and switching orders and coordinate activities of workers engaged in railroad traffic operations, such as the makeup or breakup of trains and yard switching.","Coördineren activiteiten van Switch-Engine-bemanning binnen de spoorwegwerf, industriële fabriek of vergelijkbare locatie. Geleiders coördineren activiteiten van treinploegen op passagiers- of goederentreinen. Yardmasters beoordelen treinschema's en schakel bestellingen en coördineren activiteiten van werknemers die zich bezighouden met spoorwegverkeersactiviteiten, zoals de make -up of het uiteenvallen van treinen en werfomschakeling.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-4031.00
Subway and Streetcar Operators,Metro- en tramoperators,2,"Operate subway or elevated suburban trains with no separate locomotive, or electric-powered streetcar, to transport passengers. May handle fares.",Gebruik metro- of verhoogde voorstedelijke treinen zonder afzonderlijke locomotief of elektrisch aangedreven tram om passagiers te vervoeren. Kan tarieven omgaan.,Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-4041.00
Sailors and Marine Oilers,Zeilers en mariene oliën,2,"Stand watch to look for obstructions in path of vessel, measure water depth, turn wheel on bridge, or use emergency equipment as directed by captain, mate, or pilot. Break out, rig, overhaul, and store cargo-handling gear, stationary rigging, and running gear. Perform a variety of maintenance tasks to preserve the painted surface of the ship and to maintain line and ship equipment. Must hold government-issued certification and tankerman certification when working aboard liquid-carrying vessels. Includes able seamen and ordinary seamen.","Sta staan ​​op om te zoeken naar obstakels in het pad van het schip, meet de waterdiepte, draai het wiel op brug of gebruik noodapparatuur zoals voorgeschreven door kapitein, maat of piloot. Breek uit, rig, revisie en bewaar ladingsuitrusting, stationaire tuigage en hardloopuitrusting. Voer verschillende onderhoudstaken uit om het geschilderde oppervlak van het schip te behouden en om lijn- en verzendapparatuur te behouden. Moet door de overheid uitgegeven certificering en tankermancertificering houden bij het werken aan aan boord van vloeistofvoedingsschepen. Inclusief bekwame zeelieden en gewone zeelieden.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-5011.00
"Captains, Mates, and Pilots of Water Vessels","Captains, partners en piloten watervaten",3,"Command or supervise operations of ships and water vessels, such as tugboats and ferryboats. Required to hold license issued by U.S. Coast Guard.","Commando of toezicht houden op bewerkingen van schepen en watervaten, zoals sleepboten en veerboten. Vereist om licentie te houden uitgegeven door de Amerikaanse kustwacht.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-5021.00
Motorboat Operators,Motorbootoperators,2,Operate small motor-driven boats. May assist in navigational activities.,Bedienen kleine motorgestuurde boten. Kan helpen bij navigatieactiviteiten.,Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-5022.00
Ship Engineers,Verzendingenieurs,3,"Supervise and coordinate activities of crew engaged in operating and maintaining engines, boilers, deck machinery, and electrical, sanitary, and refrigeration equipment aboard ship.","Begeleiden en coördineren activiteiten van bemanningsleden die betrokken zijn bij het bedienen en onderhouden van motoren, ketels, dekmachines en elektrische, sanitaire en koelapparatuur aan boord van het schip.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-5031.00
