Title,Job Zone,Description,Domain,O*NET-SOC Code,german_title,german_description,german_domain
Hearing Aid Specialists,3,"Select and fit hearing aids for customers. Administer and interpret tests of hearing. Assess hearing instrument efficacy. Take ear impressions and prepare, design, and modify ear molds.",Healthcare Practitioners and Technical Occupations,29-2092.00,Hörgerätespezialisten,"Wählen Sie Hörgeräte für Kunden aus und fügen Sie sie aus. Hörprüfungen verwalten und interpretieren. Bewertung der Wirksamkeit der Hörinstrumente. Nehmen Sie Ohrabdrücke ein und bereiten Sie die Ohrformen vor, entwerfen und ändern.",Gesundheitspraktiker und technische Berufe
Neurodiagnostic Technologists,3,"Conduct electroneurodiagnostic (END) tests such as electroencephalograms, evoked potentials, polysomnograms, or electronystagmograms. May perform nerve conduction studies.",Healthcare Practitioners and Technical Occupations,29-2099.01,Neurodiagnostische Technologen,"Führen Sie elektroneurodiagnostische (End-) Tests wie Elektroenzephalogramme, evozierte Potentiale, Polysomnogramme oder ElektryStagmogramme durch. Kann Nervenleitungsstudien durchführen.",Gesundheitspraktiker und technische Berufe
Ophthalmic Medical Technologists,3,"Assist ophthalmologists by performing ophthalmic clinical functions and ophthalmic photography. Provide instruction and supervision to other ophthalmic personnel. Assist with minor surgical procedures, applying aseptic techniques and preparing instruments. May perform eye exams, administer eye medications, and instruct patients in care and use of corrective lenses.",Healthcare Practitioners and Technical Occupations,29-2099.05,Ophthalmic Medical Technologists,"Unterstützen Sie Ophthalmologen, indem Sie ophthalmische klinische Funktionen und ophthalmische Fotografie ausführen. Bieten Sie anderen ophthalmischen Mitarbeitern Anweisungen und Aufsicht. Unterstützung bei geringfügigen chirurgischen Eingriffen, Anwendung von aseptischen Techniken und Vorbereitung von Instrumenten. Kann Augenuntersuchungen durchführen, Augenmedikamente verabreichen und Patienten in der Pflege und Verwendung von Korrekturlinsen anweisen.",Gesundheitspraktiker und technische Berufe
Patient Representatives,3,"Assist patients in obtaining services, understanding policies and making health care decisions.",Healthcare Practitioners and Technical Occupations,29-2099.08,Patientenvertreter,"Unterstützung Patienten beim Erhalten von Dienstleistungen, beim Verständnis von Richtlinien und beim Entscheidungsentscheidungen im Gesundheitswesen.",Gesundheitspraktiker und technische Berufe
Health Information Technologists and Medical Registrars,3,"Apply knowledge of healthcare and information systems to assist in the design, development, and continued modification and analysis of computerized healthcare systems. Abstract, collect, and analyze treatment and followup information of patients. May educate staff and assist in problem solving to promote the implementation of the healthcare information system. May design, develop, test, and implement databases with complete history, diagnosis, treatment, and health status to help monitor diseases.",Healthcare Practitioners and Technical Occupations,29-9021.00,Gesundheitsinformationstechnologisten und medizinische Registrare,"Wenden Sie Kenntnisse in Gesundheits- und Informationssystemen an, um die Gestaltung, Entwicklung und fortgesetzte Änderung und Analyse von computergestützten Gesundheitssystemen zu unterstützen. Zusammenfassung, Sammeln und Analyse der Behandlung und Follow -up -Informationen von Patienten. Kann das Personal aufklären und bei der Problemlösung helfen, um die Umsetzung des Gesundheitsinformationssystems zu fördern. Kann Datenbanken mit vollständiger Anamnese, Diagnose, Behandlung und Gesundheitszustand entwerfen, entwickeln, testen und implementieren, um Krankheiten zu überwachen.",Gesundheitspraktiker und technische Berufe
Athletic Trainers,5,"Evaluate and treat musculoskeletal injuries or illnesses. Provide preventive, therapeutic, emergency, and rehabilitative care.",Healthcare Practitioners and Technical Occupations,29-9091.00,Sporttrainer,"Bewerten und behandeln Sie Verletzungen oder Krankheiten des Bewegungsapparates. Bereitstellung vorbeugende, therapeutische, Notfall- und Rehabilitationsversorgung.",Gesundheitspraktiker und technische Berufe
Genetic Counselors,5,"Assess individual or family risk for a variety of inherited conditions, such as genetic disorders and birth defects. Provide information to other healthcare providers or to individuals and families concerned with the risk of inherited conditions. Advise individuals and families to support informed decisionmaking and coping methods for those at risk. May help conduct research related to genetic conditions or genetic counseling.",Healthcare Practitioners and Technical Occupations,29-9092.00,Genetische Berater,"Bewerten Sie das individuelle oder familiäre Risiko für eine Vielzahl von ererbten Bedingungen wie genetische Störungen und Geburtsfehler. Informationen an andere Gesundheitsdienstleister oder Einzelpersonen und Familien, die sich mit dem Risiko ererbter Bedingungen befassen. Beraten Sie Einzelpersonen und Familien, fundierte Entscheidungsmethoden für die gefährdeten Personen zu unterstützen. Kann helfen, Forschungen im Zusammenhang mit genetischen Bedingungen oder genetischen Beratung durchzuführen.",Gesundheitspraktiker und technische Berufe
Surgical Assistants,3,"Assist in operations, under the supervision of surgeons. May, in accordance with state laws, help surgeons to make incisions and close surgical sites, manipulate or remove tissues, implant surgical devices or drains, suction the surgical site, place catheters, clamp or cauterize vessels or tissue, and apply dressings to surgical site.",Healthcare Practitioners and Technical Occupations,29-9093.00,Chirurgische Assistenten,"Unterstützung bei der Operation unter der Aufsicht von Chirurgen. Möglicherweise helfen Sie den Chirurgen, in Übereinstimmung mit den staatlichen Gesetzen zu helfen, Einschnitte zu machen und chirurgische Stellen zu bearbeiten, Gewebe zu manipulieren oder zu entfernen, chirurgische Geräte oder implantische Geräte oder Abflüsse zu entfernen, die chirurgische Stätte zu saugen, Katheter, Klemme oder Kauterien oder Gewebe zu kaugerieren und Dressings auf die Operationsseite anzuwenden .",Gesundheitspraktiker und technische Berufe
Midwives,5,Provide prenatal care and childbirth assistance.,Healthcare Practitioners and Technical Occupations,29-9099.01,Hebammen,Bieten Sie vorgeburtliche Pflege und Geburtshilfe.,Gesundheitspraktiker und technische Berufe
Home Health Aides,2,"Monitor the health status of an individual with disabilities or illness, and address their health-related needs, such as changing bandages, dressing wounds, or administering medication. Work is performed under the direction of offsite or intermittent onsite licensed nursing staff. Provide assistance with routine healthcare tasks or activities of daily living, such as feeding, bathing, toileting, or ambulation. May also help with tasks such as preparing meals, doing light housekeeping, and doing laundry depending on the patient's abilities.",Healthcare Support Occupations,31-1121.00,Home Health Aides,"Überwachen Sie den Gesundheitszustand einer Person mit Behinderungen oder Krankheiten und befriedigen Sie ihre gesundheitsbezogenen Bedürfnisse, wie z. B. Bandagen, Wunden an oder die Verabreichung von Medikamenten. Die Arbeiten werden unter der Leitung von Offsite- oder zeitweit lizenzierten Pflegepersonal vor Ort durchgeführt. Bieten Sie Unterstützung bei routinemäßigen Gesundheitsaufgaben oder Aktivitäten des täglichen Lebens, wie Fütterung, Baden, Toiletten- oder Ambulation. Kann auch bei Aufgaben wie dem Zubereiten von Mahlzeiten, der leichten Haushaltsführung und bei Wäscherei hilfreich sein und je nach den Fähigkeiten des Patienten Wäsche waschen.",Berufungen zur Unterstützung von Gesundheitsunterstützung
Personal Care Aides,2,"Provide personalized assistance to individuals with disabilities or illness who require help with personal care and activities of daily living support (e.g., feeding, bathing, dressing, grooming, toileting, and ambulation). May also provide help with tasks such as preparing meals, doing light housekeeping, and doing laundry. Work is performed in various settings depending on the needs of the care recipient and may include locations such as their home, place of work, out in the community, or at a daytime nonresidential facility.",Healthcare Support Occupations,31-1122.00,Helferin,"Bieten Sie Personen mit Behinderungen oder Krankheiten, die Hilfe bei der persönlichen Pflege und Aktivitäten des täglichen Lebensunterhalts benötigen (z. B. Fütterung, Baden, Anziehen, Pflege, Toilette und Ambulation). Kann auch Hilfe bei Aufgaben wie Zubereitung von Mahlzeiten, leichter Haushaltsführung und Wäsche leisten. Die Arbeiten werden in verschiedenen Umgebungen durchgeführt, abhängig von den Bedürfnissen des Pflegeempfängers und können Standorte wie ihr Zuhause, ihren Arbeitsplatz, in der Gemeinde oder in einer tagsüber nicht inhaftierten Einrichtung umfassen.",Berufungen zur Unterstützung von Gesundheitsunterstützung
Nursing Assistants,3,"Provide or assist with basic care or support under the direction of onsite licensed nursing staff. Perform duties such as monitoring of health status, feeding, bathing, dressing, grooming, toileting, or ambulation of patients in a health or nursing facility. May include medication administration and other health-related tasks. Includes nursing care attendants, nursing aides, and nursing attendants.",Healthcare Support Occupations,31-1131.00,Pflegeassistenten,"Basis oder Unterstützung unter der Leitung von vor Ort lizenzierten Pflegepersonal oder Unterstützung bei der Grundversorgung oder Unterstützung. Ausführen von Aufgaben wie Überwachung des Gesundheitszustands, Fütterung, Baden, Anziehen, Pflege, Toilette oder Ambulation von Patienten in einer Gesundheits- oder Pflegeeinrichtung. Kann die Verabreichung von Medikamenten und andere gesundheitsbezogene Aufgaben umfassen. Beinhaltet Pflegestütze, Pflegehelfer und Pflegebeamte.",Berufungen zur Unterstützung von Gesundheitsunterstützung
Orderlies,2,"Transport patients to areas such as operating rooms or x-ray rooms using wheelchairs, stretchers, or moveable beds. May maintain stocks of supplies or clean and transport equipment. Psychiatric orderlies are included in Psychiatric Aides.",Healthcare Support Occupations,31-1132.00,Bestellungen,"Transportieren Sie Patienten in Bereiche wie Operationssäle oder Röntgenräume mit Rollstühlen, Gierungen oder beweglichen Betten. Kann Vorräte an Lieferungen oder Reinigen und Transportgeräten aufrechterhalten. Psychiatrische Orden sind in psychiatrischen Helfern enthalten.",Berufungen zur Unterstützung von Gesundheitsunterstützung
Psychiatric Aides,2,"Assist mentally impaired or emotionally disturbed patients, working under direction of nursing and medical staff. May assist with daily living activities, lead patients in educational and recreational activities, or accompany patients to and from examinations and treatments. May restrain violent patients. Includes psychiatric orderlies.",Healthcare Support Occupations,31-1133.00,Psychiatrische Helfer,"Unterstützung bei psychisch beeinträchtigten oder emotional gestörten Patienten unter der Leitung von Krankenpflege- und medizinischem Personal. Kann bei täglichen Lebensaktivitäten, führenden Patienten in Bildungs- und Freizeitaktivitäten führen oder Patienten zu und von Untersuchungen und Behandlungen begleiten. Kann gewalttätige Patienten einschränken. Beinhaltet psychiatrische Ordnung.",Berufungen zur Unterstützung von Gesundheitsunterstützung
